time_key,open,high,low,close,volume
2021-03-15 06:00:00,26.07,26.12,26.03,26.08,151
2021-03-15 06:01:00,26.09,26.115,26.07,26.1,51
2021-03-15 06:02:00,26.11,26.13,26.105,26.115,44
2021-03-15 06:03:00,26.115,26.115,26.1,26.105,19
2021-03-15 06:04:00,26.1,26.1,26.045,26.075,106
2021-03-15 06:05:00,26.065,26.07,26.035,26.035,42
2021-03-15 06:06:00,26.03,26.035,26.0,26.02,38
2021-03-15 06:07:00,26.025,26.025,26.015,26.015,13
2021-03-15 06:08:00,26.015,26.025,26.015,26.02,14
2021-03-15 06:09:00,26.025,26.045,26.02,26.04,48
2021-03-15 06:10:00,26.05,26.05,26.04,26.045,17
2021-03-15 06:11:00,26.045,26.045,26.03,26.035,26
2021-03-15 06:12:00,26.03,26.04,26.03,26.04,8
2021-03-15 06:13:00,26.045,26.065,26.045,26.06,19
2021-03-15 06:14:00,26.06,26.065,26.06,26.06,10
2021-03-15 06:15:00,26.055,26.065,26.055,26.06,4
2021-03-15 06:16:00,26.07,26.08,26.07,26.08,5
2021-03-15 06:17:00,26.075,26.09,26.075,26.08,15
2021-03-15 06:18:00,26.075,26.085,26.075,26.085,8
2021-03-15 06:19:00,26.09,26.09,26.08,26.085,4
2021-03-15 06:20:00,26.075,26.085,26.075,26.085,10
2021-03-15 06:21:00,26.09,26.09,26.085,26.085,7
2021-03-15 06:22:00,26.08,26.085,26.08,26.08,13
2021-03-15 06:23:00,26.08,26.085,26.08,26.085,29
2021-03-15 06:24:00,26.08,26.08,26.04,26.04,20
2021-03-15 06:25:00,26.045,26.065,26.04,26.065,12
2021-03-15 06:26:00,26.065,26.065,26.045,26.05,8
2021-03-15 06:27:00,26.055,26.07,26.055,26.07,18
2021-03-15 06:30:00,26.075,26.09,26.075,26.09,14
2021-03-15 06:31:00,26.09,26.09,26.08,26.08,8
2021-03-15 06:32:00,26.08,26.08,26.07,26.07,5
2021-03-15 06:33:00,26.075,26.075,26.07,26.07,6
2021-03-15 06:34:00,26.07,26.075,26.07,26.075,2
2021-03-15 06:35:00,26.08,26.095,26.08,26.095,9
2021-03-15 06:36:00,26.09,26.105,26.09,26.105,7
2021-03-15 06:37:00,26.105,26.125,26.105,26.105,25
2021-03-15 06:38:00,26.1,26.1,26.09,26.095,5
2021-03-15 06:39:00,26.09,26.09,26.085,26.085,8
2021-03-15 06:40:00,26.095,26.095,26.095,26.095,2
2021-03-15 06:41:00,26.1,26.1,26.1,26.1,1
2021-03-15 06:42:00,26.1,26.105,26.085,26.085,10
2021-03-15 06:43:00,26.09,26.09,26.09,26.09,1
2021-03-15 06:44:00,26.105,26.105,26.105,26.105,1
2021-03-15 06:45:00,26.095,26.1,26.09,26.1,13
2021-03-15 06:46:00,26.105,26.105,26.105,26.105,3
2021-03-15 06:47:00,26.11,26.115,26.1,26.11,7
2021-03-15 06:48:00,26.11,26.11,26.105,26.105,6
2021-03-15 06:49:00,26.1,26.1,26.09,26.09,6
2021-03-15 06:50:00,26.09,26.095,26.08,26.08,6
2021-03-15 06:51:00,26.085,26.09,26.085,26.09,5
2021-03-15 06:52:00,26.09,26.1,26.09,26.1,3
2021-03-15 06:53:00,26.095,26.095,26.09,26.095,6
2021-03-15 06:54:00,26.1,26.1,26.1,26.1,1
2021-03-15 06:55:00,26.095,26.11,26.095,26.11,13
2021-03-15 06:56:00,26.115,26.135,26.115,26.125,31
2021-03-15 06:57:00,26.135,26.135,26.12,26.125,17
2021-03-15 06:58:00,26.13,26.13,26.12,26.12,17
2021-03-15 06:59:00,26.125,26.125,26.11,26.11,17
2021-03-15 07:00:00,26.12,26.12,26.1,26.1,12
2021-03-15 07:01:00,26.1,26.1,26.1,26.1,21
2021-03-15 07:02:00,26.105,26.105,26.1,26.1,4
2021-03-15 07:03:00,26.1,26.115,26.1,26.1,18
2021-03-15 07:04:00,26.11,26.11,26.09,26.09,16
2021-03-15 07:05:00,26.09,26.1,26.08,26.1,21
2021-03-15 07:06:00,26.1,26.1,26.1,26.1,5
2021-03-15 07:07:00,26.095,26.1,26.095,26.1,5
2021-03-15 07:08:00,26.11,26.11,26.1,26.11,16
2021-03-15 07:09:00,26.1,26.105,26.1,26.105,4
2021-03-15 07:10:00,26.105,26.13,26.1,26.125,22
2021-03-15 07:11:00,26.12,26.135,26.12,26.13,24
2021-03-15 07:12:00,26.125,26.14,26.125,26.125,43
2021-03-15 07:13:00,26.135,26.155,26.135,26.145,30
2021-03-15 07:14:00,26.14,26.15,26.13,26.13,38
2021-03-15 07:15:00,26.135,26.135,26.13,26.135,7
2021-03-15 07:16:00,26.14,26.14,26.14,26.14,5
2021-03-15 07:17:00,26.135,26.135,26.135,26.135,7
2021-03-15 07:18:00,26.14,26.14,26.12,26.125,13
2021-03-15 07:19:00,26.12,26.12,26.1,26.105,15
2021-03-15 07:20:00,26.1,26.115,26.1,26.11,47
2021-03-15 07:21:00,26.11,26.115,26.11,26.115,5
2021-03-15 07:22:00,26.115,26.115,26.1,26.105,9
2021-03-15 07:23:00,26.11,26.125,26.11,26.125,8
2021-03-15 07:24:00,26.125,26.13,26.125,26.13,8
2021-03-15 07:25:00,26.125,26.125,26.12,26.12,9
2021-03-15 07:26:00,26.11,26.115,26.11,26.115,10
2021-03-15 07:27:00,26.11,26.12,26.105,26.12,14
2021-03-15 07:28:00,26.11,26.11,26.105,26.105,9
2021-03-15 07:29:00,26.1,26.1,26.07,26.09,19
2021-03-15 07:30:00,26.095,26.1,26.085,26.085,6
2021-03-15 07:31:00,26.1,26.1,26.1,26.1,3
2021-03-15 07:32:00,26.09,26.095,26.085,26.085,8
2021-03-15 07:33:00,26.085,26.085,26.085,26.085,1
2021-03-15 07:34:00,26.09,26.095,26.085,26.09,19
2021-03-15 07:35:00,26.09,26.09,26.08,26.08,11
2021-03-15 07:36:00,26.075,26.075,26.065,26.07,25
2021-03-15 07:37:00,26.075,26.08,26.075,26.08,6
2021-03-15 07:38:00,26.085,26.085,26.055,26.055,23
2021-03-15 07:39:00,26.05,26.075,26.04,26.075,38
2021-03-15 07:40:00,26.07,26.07,26.065,26.065,3
2021-03-15 07:41:00,26.07,26.075,26.07,26.07,11
2021-03-15 07:42:00,26.075,26.075,26.075,26.075,1
2021-03-15 07:43:00,26.075,26.075,26.065,26.065,15
2021-03-15 07:44:00,26.07,26.07,26.06,26.06,7
2021-03-15 07:45:00,26.055,26.06,26.055,26.055,17
2021-03-15 07:46:00,26.055,26.055,26.035,26.05,36
2021-03-15 07:47:00,26.05,26.055,26.05,26.05,8
2021-03-15 07:48:00,26.045,26.055,26.04,26.05,20
2021-03-15 07:49:00,26.05,26.055,26.05,26.055,7
2021-03-15 07:50:00,26.06,26.065,26.06,26.065,15
2021-03-15 07:51:00,26.065,26.065,26.055,26.055,11
2021-03-15 07:52:00,26.05,26.06,26.05,26.055,4
2021-03-15 07:53:00,26.055,26.055,26.05,26.05,10
2021-03-15 07:54:00,26.06,26.065,26.06,26.06,7
2021-03-15 07:55:00,26.055,26.055,26.05,26.05,2
2021-03-15 07:56:00,26.04,26.04,26.04,26.04,3
2021-03-15 07:57:00,26.045,26.05,26.045,26.05,5
2021-03-15 07:58:00,26.045,26.055,26.045,26.055,8
2021-03-15 07:59:00,26.06,26.06,26.055,26.055,5
2021-03-15 08:00:00,26.055,26.06,26.045,26.055,10
2021-03-15 08:01:00,26.055,26.06,26.055,26.055,7
2021-03-15 08:02:00,26.06,26.07,26.06,26.07,10
2021-03-15 08:03:00,26.07,26.075,26.07,26.07,10
2021-03-15 08:04:00,26.065,26.065,26.055,26.055,20
2021-03-15 08:05:00,26.06,26.075,26.06,26.075,33
2021-03-15 08:06:00,26.075,26.08,26.07,26.07,24
2021-03-15 08:07:00,26.07,26.07,26.06,26.06,27
2021-03-15 08:08:00,26.065,26.07,26.06,26.06,18
2021-03-15 08:09:00,26.06,26.065,26.055,26.055,21
2021-03-15 08:10:00,26.055,26.065,26.055,26.065,14
2021-03-15 08:11:00,26.065,26.065,26.06,26.06,2
2021-03-15 08:12:00,26.065,26.075,26.065,26.065,10
2021-03-15 08:13:00,26.06,26.06,26.05,26.05,8
2021-03-15 08:14:00,26.05,26.05,26.04,26.045,11
2021-03-15 08:15:00,26.04,26.055,26.04,26.045,26
2021-03-15 08:16:00,26.05,26.06,26.05,26.055,11
2021-03-15 08:17:00,26.055,26.055,26.045,26.05,24
2021-03-15 08:18:00,26.06,26.065,26.05,26.065,39
2021-03-15 08:19:00,26.065,26.075,26.055,26.065,18
2021-03-15 08:20:00,26.07,26.075,26.06,26.06,16
2021-03-15 08:21:00,26.06,26.06,26.05,26.055,18
2021-03-15 08:22:00,26.05,26.055,26.05,26.055,7
2021-03-15 08:23:00,26.06,26.06,26.06,26.06,6
2021-03-15 08:25:00,26.065,26.07,26.065,26.07,8
2021-03-15 08:26:00,26.07,26.07,26.06,26.06,14
2021-03-15 08:27:00,26.06,26.065,26.06,26.065,6
2021-03-15 08:28:00,26.065,26.07,26.065,26.07,2
2021-03-15 08:29:00,26.07,26.07,26.07,26.07,4
2021-03-15 08:30:00,26.065,26.065,26.065,26.065,3
2021-03-15 08:31:00,26.07,26.07,26.055,26.055,14
2021-03-15 08:32:00,26.065,26.08,26.065,26.08,16
2021-03-15 08:33:00,26.08,26.085,26.07,26.07,8
2021-03-15 08:34:00,26.075,26.085,26.07,26.085,9
2021-03-15 08:35:00,26.09,26.09,26.065,26.065,8
2021-03-15 08:36:00,26.06,26.065,26.045,26.045,12
2021-03-15 08:37:00,26.05,26.05,26.05,26.05,7
2021-03-15 08:38:00,26.045,26.055,26.045,26.055,6
2021-03-15 08:39:00,26.055,26.055,26.055,26.055,1
2021-03-15 08:40:00,26.06,26.06,26.055,26.06,12
2021-03-15 08:41:00,26.065,26.065,26.065,26.065,5
2021-03-15 08:42:00,26.06,26.06,26.055,26.055,5
2021-03-15 08:43:00,26.06,26.075,26.06,26.07,17
2021-03-15 08:44:00,26.065,26.065,26.065,26.065,2
2021-03-15 08:45:00,26.06,26.06,26.06,26.06,1
2021-03-15 08:46:00,26.06,26.06,26.055,26.06,5
2021-03-15 08:47:00,26.06,26.06,26.045,26.045,11
2021-03-15 08:48:00,26.045,26.045,26.045,26.045,5
2021-03-15 08:49:00,26.04,26.05,26.04,26.05,5
2021-03-15 08:50:00,26.05,26.05,26.05,26.05,2
2021-03-15 08:51:00,26.045,26.045,26.04,26.04,13
2021-03-15 08:52:00,26.04,26.045,26.04,26.045,7
2021-03-15 08:53:00,26.045,26.045,26.045,26.045,7
2021-03-15 08:54:00,26.045,26.045,26.02,26.02,53
2021-03-15 08:55:00,26.025,26.025,26.015,26.015,6
2021-03-15 08:56:00,26.02,26.025,26.02,26.025,11
2021-03-15 08:57:00,26.03,26.03,26.02,26.025,11
2021-03-15 08:58:00,26.025,26.03,26.025,26.03,14
2021-03-15 08:59:00,26.035,26.045,26.03,26.035,26
2021-03-15 09:00:00,26.04,26.07,25.98,26.07,475
2021-03-15 09:01:00,26.075,26.105,26.045,26.08,172
2021-03-15 09:02:00,26.08,26.095,26.07,26.075,68
2021-03-15 09:03:00,26.075,26.11,26.075,26.105,54
2021-03-15 09:04:00,26.11,26.125,26.1,26.115,54
2021-03-15 09:05:00,26.125,26.125,26.105,26.115,39
2021-03-15 09:06:00,26.125,26.14,26.12,26.135,57
2021-03-15 09:07:00,26.135,26.17,26.135,26.165,142
2021-03-15 09:08:00,26.165,26.225,26.16,26.2,228
2021-03-15 09:09:00,26.205,26.205,26.16,26.18,114
2021-03-15 09:10:00,26.185,26.185,26.175,26.18,21
2021-03-15 09:11:00,26.19,26.19,26.165,26.17,34
2021-03-15 09:12:00,26.17,26.185,26.17,26.18,33
2021-03-15 09:13:00,26.185,26.2,26.175,26.185,26
2021-03-15 09:14:00,26.2,26.21,26.19,26.2,44
2021-03-15 09:15:00,26.215,26.22,26.19,26.19,62
2021-03-15 09:16:00,26.19,26.195,26.185,26.19,28
2021-03-15 09:17:00,26.195,26.195,26.175,26.185,52
2021-03-15 09:18:00,26.19,26.19,26.18,26.185,29
2021-03-15 09:19:00,26.19,26.195,26.165,26.175,99
2021-03-15 09:20:00,26.175,26.185,26.17,26.175,18
2021-03-15 09:21:00,26.175,26.18,26.165,26.17,12
2021-03-15 09:22:00,26.17,26.18,26.16,26.18,44
2021-03-15 09:23:00,26.175,26.18,26.165,26.18,16
2021-03-15 09:24:00,26.185,26.22,26.185,26.21,57
2021-03-15 09:25:00,26.215,26.255,26.215,26.25,150
2021-03-15 09:26:00,26.25,26.265,26.245,26.255,72
2021-03-15 09:27:00,26.255,26.255,26.235,26.25,106
2021-03-15 09:28:00,26.25,26.26,26.235,26.26,41
2021-03-15 09:29:00,26.265,26.27,26.24,26.24,48
2021-03-15 09:30:00,26.245,26.265,26.225,26.23,68
2021-03-15 09:31:00,26.23,26.23,26.21,26.215,49
2021-03-15 09:32:00,26.21,26.21,26.185,26.195,65
2021-03-15 09:33:00,26.2,26.215,26.2,26.215,36
2021-03-15 09:34:00,26.21,26.225,26.21,26.22,32
2021-03-15 09:35:00,26.215,26.215,26.2,26.205,32
2021-03-15 09:36:00,26.21,26.225,26.205,26.215,21
2021-03-15 09:37:00,26.21,26.21,26.205,26.205,14
2021-03-15 09:38:00,26.21,26.21,26.19,26.2,26
2021-03-15 09:39:00,26.195,26.195,26.185,26.19,20
2021-03-15 09:40:00,26.18,26.19,26.18,26.185,5
2021-03-15 09:41:00,26.175,26.18,26.17,26.17,26
2021-03-15 09:42:00,26.17,26.18,26.17,26.17,8
2021-03-15 09:43:00,26.175,26.18,26.17,26.18,17
2021-03-15 09:44:00,26.185,26.19,26.18,26.185,10
2021-03-15 09:45:00,26.19,26.205,26.185,26.2,12
2021-03-15 09:46:00,26.2,26.2,26.175,26.175,24
2021-03-15 09:47:00,26.175,26.18,26.17,26.17,19
2021-03-15 09:48:00,26.17,26.17,26.155,26.165,18
2021-03-15 09:49:00,26.165,26.18,26.165,26.175,10
2021-03-15 09:50:00,26.175,26.18,26.165,26.17,19
2021-03-15 09:51:00,26.17,26.17,26.155,26.16,9
2021-03-15 09:52:00,26.16,26.17,26.16,26.17,25
2021-03-15 09:53:00,26.165,26.17,26.155,26.16,15
2021-03-15 09:54:00,26.165,26.17,26.165,26.17,2
2021-03-15 09:55:00,26.17,26.17,26.155,26.155,9
2021-03-15 09:56:00,26.16,26.165,26.16,26.165,12
2021-03-15 09:57:00,26.17,26.17,26.16,26.16,7
2021-03-15 09:58:00,26.165,26.175,26.165,26.17,16
2021-03-15 09:59:00,26.17,26.18,26.17,26.17,16
2021-03-15 10:00:00,26.175,26.185,26.17,26.17,41
2021-03-15 10:01:00,26.17,26.19,26.17,26.185,22
2021-03-15 10:02:00,26.19,26.2,26.19,26.195,16
2021-03-15 10:03:00,26.2,26.205,26.19,26.195,26
2021-03-15 10:04:00,26.19,26.21,26.19,26.21,26
2021-03-15 10:05:00,26.2,26.215,26.19,26.19,33
2021-03-15 10:06:00,26.19,26.19,26.18,26.18,9
2021-03-15 10:07:00,26.18,26.185,26.16,26.16,26
2021-03-15 10:08:00,26.16,26.16,26.11,26.125,103
2021-03-15 10:09:00,26.125,26.13,26.11,26.115,36
2021-03-15 10:10:00,26.115,26.13,26.115,26.125,43
2021-03-15 10:11:00,26.12,26.135,26.12,26.125,21
2021-03-15 10:12:00,26.125,26.14,26.125,26.14,14
2021-03-15 10:13:00,26.145,26.15,26.14,26.15,31
2021-03-15 10:14:00,26.15,26.155,26.145,26.145,15
2021-03-15 10:15:00,26.145,26.15,26.14,26.145,17
2021-03-15 10:16:00,26.145,26.145,26.145,26.145,5
2021-03-15 10:17:00,26.15,26.155,26.14,26.14,14
2021-03-15 10:18:00,26.14,26.14,26.105,26.105,53
2021-03-15 10:19:00,26.105,26.115,26.1,26.115,36
2021-03-15 10:20:00,26.105,26.11,26.095,26.1,18
2021-03-15 10:21:00,26.095,26.115,26.095,26.115,12
2021-03-15 10:22:00,26.125,26.125,26.115,26.115,19
2021-03-15 10:23:00,26.115,26.12,26.115,26.12,12
2021-03-15 10:24:00,26.125,26.13,26.125,26.125,15
2021-03-15 10:25:00,26.12,26.12,26.11,26.11,6
2021-03-15 10:26:00,26.11,26.12,26.11,26.12,3
2021-03-15 10:27:00,26.115,26.115,26.095,26.095,14
2021-03-15 10:28:00,26.095,26.1,26.075,26.08,45
2021-03-15 10:29:00,26.075,26.075,26.05,26.065,73
2021-03-15 10:30:00,26.065,26.075,26.05,26.065,50
2021-03-15 10:31:00,26.065,26.075,26.06,26.06,25
2021-03-15 10:32:00,26.07,26.085,26.07,26.08,24
2021-03-15 10:33:00,26.075,26.08,26.065,26.07,6
2021-03-15 10:34:00,26.075,26.08,26.06,26.075,32
2021-03-15 10:35:00,26.075,26.075,26.06,26.07,18
2021-03-15 10:36:00,26.075,26.08,26.075,26.08,4
2021-03-15 10:37:00,26.07,26.075,26.07,26.07,23
2021-03-15 10:38:00,26.07,26.085,26.065,26.075,65
2021-03-15 10:39:00,26.06,26.075,26.045,26.075,34
2021-03-15 10:40:00,26.075,26.075,26.07,26.07,13
2021-03-15 10:41:00,26.075,26.08,26.075,26.075,22
2021-03-15 10:42:00,26.08,26.085,26.07,26.07,26
2021-03-15 10:43:00,26.08,26.095,26.07,26.075,33
2021-03-15 10:44:00,26.075,26.08,26.06,26.08,20
2021-03-15 10:45:00,26.085,26.085,26.065,26.065,87
2021-03-15 10:46:00,26.07,26.07,26.035,26.055,37
2021-03-15 10:47:00,26.045,26.045,26.015,26.03,68
2021-03-15 10:48:00,26.035,26.04,26.035,26.04,9
2021-03-15 10:49:00,26.03,26.03,26.02,26.02,52
2021-03-15 10:50:00,26.025,26.035,26.02,26.035,7
2021-03-15 10:51:00,26.04,26.045,26.04,26.04,16
2021-03-15 10:52:00,26.035,26.045,26.035,26.04,23
2021-03-15 10:53:00,26.045,26.055,26.045,26.055,14
2021-03-15 10:54:00,26.06,26.06,26.045,26.045,44
2021-03-15 10:55:00,26.05,26.06,26.05,26.06,6
2021-03-15 10:56:00,26.055,26.06,26.055,26.06,13
2021-03-15 10:57:00,26.065,26.07,26.065,26.07,6
2021-03-15 10:58:00,26.07,26.085,26.07,26.08,14
2021-03-15 10:59:00,26.08,26.08,26.06,26.065,37
2021-03-15 11:00:00,26.07,26.075,26.06,26.07,16
2021-03-15 11:01:00,26.075,26.09,26.075,26.09,10
2021-03-15 11:02:00,26.09,26.11,26.085,26.1,47
2021-03-15 11:03:00,26.1,26.1,26.09,26.1,30
2021-03-15 11:04:00,26.1,26.11,26.1,26.1,20
2021-03-15 11:05:00,26.105,26.11,26.1,26.1,12
2021-03-15 11:06:00,26.1,26.105,26.09,26.09,17
2021-03-15 11:07:00,26.085,26.09,26.075,26.075,15
2021-03-15 11:08:00,26.07,26.07,26.06,26.07,7
2021-03-15 11:09:00,26.07,26.07,26.07,26.07,1
2021-03-15 11:10:00,26.07,26.075,26.07,26.07,3
2021-03-15 11:11:00,26.07,26.09,26.07,26.085,7
2021-03-15 11:12:00,26.09,26.095,26.09,26.095,5
2021-03-15 11:13:00,26.1,26.105,26.1,26.1,16
2021-03-15 11:14:00,26.095,26.095,26.095,26.095,1
2021-03-15 11:15:00,26.1,26.105,26.1,26.105,12
2021-03-15 11:16:00,26.105,26.105,26.095,26.095,14
2021-03-15 11:17:00,26.09,26.1,26.09,26.095,9
2021-03-15 11:18:00,26.1,26.1,26.1,26.1,2
2021-03-15 11:19:00,26.09,26.09,26.07,26.075,15
2021-03-15 11:20:00,26.075,26.09,26.065,26.09,27
2021-03-15 11:21:00,26.09,26.09,26.065,26.065,16
2021-03-15 11:22:00,26.065,26.065,26.05,26.055,21
2021-03-15 11:23:00,26.055,26.055,26.045,26.045,8
2021-03-15 11:24:00,26.045,26.065,26.045,26.065,10
2021-03-15 11:25:00,26.06,26.06,26.055,26.055,3
2021-03-15 11:26:00,26.06,26.06,26.055,26.055,2
2021-03-15 11:27:00,26.05,26.055,26.05,26.05,9
2021-03-15 11:28:00,26.06,26.06,26.06,26.06,2
2021-03-15 11:29:00,26.065,26.065,26.06,26.06,8
2021-03-15 11:30:00,26.07,26.07,26.06,26.065,12
2021-03-15 11:31:00,26.06,26.065,26.055,26.065,13
2021-03-15 11:32:00,26.065,26.065,26.065,26.065,4
2021-03-15 11:33:00,26.06,26.07,26.06,26.07,6
2021-03-15 11:34:00,26.07,26.075,26.07,26.075,5
2021-03-15 11:35:00,26.075,26.085,26.075,26.085,3
2021-03-15 11:36:00,26.08,26.08,26.07,26.07,16
2021-03-15 11:37:00,26.07,26.07,26.065,26.065,3
2021-03-15 11:38:00,26.06,26.06,26.06,26.06,4
2021-03-15 11:39:00,26.065,26.065,26.065,26.065,5
2021-03-15 11:40:00,26.065,26.08,26.065,26.08,5
2021-03-15 11:41:00,26.085,26.09,26.085,26.09,3
2021-03-15 11:42:00,26.085,26.085,26.085,26.085,1
2021-03-15 11:43:00,26.085,26.085,26.08,26.08,3
2021-03-15 11:44:00,26.08,26.08,26.08,26.08,1
2021-03-15 11:45:00,26.085,26.085,26.085,26.085,4
2021-03-15 11:46:00,26.075,26.08,26.075,26.08,5
2021-03-15 11:47:00,26.085,26.085,26.085,26.085,1
2021-03-15 11:48:00,26.08,26.08,26.075,26.075,5
2021-03-15 11:49:00,26.08,26.08,26.08,26.08,4
2021-03-15 11:50:00,26.08,26.08,26.065,26.065,10
2021-03-15 11:52:00,26.07,26.08,26.07,26.08,3
2021-03-15 11:53:00,26.08,26.08,26.08,26.08,1
2021-03-15 11:54:00,26.08,26.08,26.075,26.075,4
2021-03-15 11:55:00,26.075,26.075,26.075,26.075,1
2021-03-15 11:56:00,26.08,26.08,26.08,26.08,3
2021-03-15 11:57:00,26.085,26.09,26.08,26.09,9
2021-03-15 11:58:00,26.09,26.095,26.09,26.095,3
2021-03-15 11:59:00,26.09,26.09,26.09,26.09,4
2021-03-15 12:00:00,26.085,26.085,26.085,26.085,3
2021-03-15 12:01:00,26.085,26.085,26.08,26.08,8
2021-03-15 12:02:00,26.075,26.075,26.075,26.075,1
2021-03-15 12:03:00,26.075,26.075,26.075,26.075,4
2021-03-15 12:04:00,26.08,26.08,26.07,26.07,6
2021-03-15 12:05:00,26.065,26.065,26.065,26.065,3
2021-03-15 12:06:00,26.065,26.065,26.065,26.065,3
2021-03-15 12:07:00,26.065,26.065,26.06,26.065,20
2021-03-15 12:09:00,26.06,26.065,26.06,26.065,2
2021-03-15 12:10:00,26.06,26.06,26.05,26.05,15
2021-03-15 12:11:00,26.05,26.05,26.04,26.045,13
2021-03-15 12:12:00,26.045,26.05,26.045,26.05,7
2021-03-15 12:13:00,26.045,26.05,26.045,26.05,4
2021-03-15 12:15:00,26.04,26.04,26.035,26.04,11
2021-03-15 12:16:00,26.035,26.045,26.035,26.045,6
2021-03-15 12:17:00,26.055,26.055,26.055,26.055,1
2021-03-15 12:18:00,26.05,26.06,26.05,26.06,5
2021-03-15 12:19:00,26.06,26.06,26.06,26.06,11
2021-03-15 12:20:00,26.055,26.055,26.045,26.045,15
2021-03-15 12:21:00,26.045,26.045,26.045,26.045,5
2021-03-15 12:22:00,26.045,26.045,26.04,26.045,8
2021-03-15 12:23:00,26.045,26.045,26.045,26.045,4
2021-03-15 12:24:00,26.045,26.045,26.04,26.04,7
2021-03-15 12:25:00,26.04,26.05,26.04,26.05,7
2021-03-15 12:26:00,26.05,26.05,26.05,26.05,2
2021-03-15 12:28:00,26.045,26.045,26.045,26.045,1
2021-03-15 12:29:00,26.05,26.05,26.05,26.05,1
2021-03-15 12:30:00,26.05,26.05,26.045,26.045,3
2021-03-15 12:31:00,26.045,26.045,26.035,26.035,4
2021-03-15 12:32:00,26.03,26.04,26.03,26.04,13
2021-03-15 12:33:00,26.04,26.045,26.04,26.045,3
2021-03-15 12:35:00,26.045,26.045,26.045,26.045,1
2021-03-15 12:36:00,26.04,26.04,26.035,26.035,7
2021-03-15 12:37:00,26.035,26.035,26.025,26.03,11
2021-03-15 12:38:00,26.03,26.03,26.025,26.025,6
2021-03-15 12:39:00,26.03,26.03,26.025,26.03,7
2021-03-15 12:40:00,26.025,26.025,26.02,26.02,10
2021-03-15 12:41:00,26.02,26.02,26.015,26.015,11
2021-03-15 12:42:00,26.015,26.02,26.015,26.015,5
2021-03-15 12:43:00,26.015,26.015,26.01,26.015,12
2021-03-15 12:44:00,26.015,26.02,26.015,26.02,5
2021-03-15 12:45:00,26.03,26.03,26.03,26.03,3
2021-03-15 12:46:00,26.03,26.035,26.03,26.035,2
2021-03-15 12:47:00,26.03,26.03,26.03,26.03,3
2021-03-15 12:48:00,26.03,26.03,26.03,26.03,2
2021-03-15 12:49:00,26.03,26.03,26.03,26.03,3
2021-03-15 12:50:00,26.025,26.035,26.025,26.035,3
